X,unique_id,image_id,plot,month,year,id,Le,L,LX,LXG1,LXG2,DIFN,MTA.ell,x,VZA,rings,azimuths,mask,lens
1,DSC_0097.JPG_PB_July_2023,DSC_0097.JPG,PB,July,2023,DSC_0097.JPG,4.5,8.33,0.54,0.66,0.54,5.388,51,1.29,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
2,DSC_0098.JPG_PB_July_2023,DSC_0098.JPG,PB,July,2023,DSC_0098.JPG,8.64,11.67,0.74,0.82,0.75,0.356,40,1.9,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
3,DSC_0099.JPG_PB_July_2023,DSC_0099.JPG,PB,July,2023,DSC_0099.JPG,2.57,5.15,0.5,0.53,0.39,17.966,54,1.18,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
4,DSC_0100.JPG_PB_July_2023,DSC_0100.JPG,PB,July,2023,DSC_0100.JPG,4.19,7.64,0.55,0.64,0.51,5.436,23,3.47,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
5,DSC_0101.JPG_PB_July_2023,DSC_0101.JPG,PB,July,2023,DSC_0101.JPG,8.11,10.46,0.78,0.79,0.71,0.291,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
6,DSC_0102.JPG_PB_July_2023,DSC_0102.JPG,PB,July,2023,DSC_0102.JPG,6.01,7.76,0.77,0.76,0.66,1.185,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
7,DSC_0103.JPG_PB_July_2023,DSC_0103.JPG,PB,July,2023,DSC_0103.JPG,9.36,11.78,0.79,0.8,0.72,0.147,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
8,DSC_0104.JPG_PB_July_2023,DSC_0104.JPG,PB,July,2023,DSC_0104.JPG,2.76,3.58,0.77,0.73,0.62,16.686,66,0.69,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
9,DSC_0105.JPG_PB_July_2023,DSC_0105.JPG,PB,July,2023,DSC_0105.JPG,7.99,11.07,0.72,0.76,0.68,1.412,18,4.4,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
10,DSC_0106.JPG_PB_July_2023,DSC_0106.JPG,PB,July,2023,DSC_0106.JPG,3.34,4.64,0.72,0.7,0.58,10.49,49,1.44,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
11,DSC_0107.JPG_PB_July_2023,DSC_0107.JPG,PB,July,2023,DSC_0107.JPG,5.39,9.74,0.55,0.68,0.57,2.003,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
12,DSC_0108.JPG_PB_July_2023,DSC_0108.JPG,PB,July,2023,DSC_0108.JPG,4.35,9.54,0.46,0.6,0.47,4.346,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
13,DSC_0109.JPG_PB_July_2023,DSC_0109.JPG,PB,July,2023,DSC_0109.JPG,3.55,4.89,0.73,0.66,0.54,6.441,24,3.41,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
14,DSC_0110.JPG_PB_July_2023,DSC_0110.JPG,PB,July,2023,DSC_0110.JPG,4.8,5.75,0.83,0.8,0.71,2.941,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
15,DSC_0111.JPG_PB_July_2023,DSC_0111.JPG,PB,July,2023,DSC_0111.JPG,5.34,7.57,0.71,0.75,0.64,1.711,10,8.04,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
16,DSC_0112.JPG_PB_July_2023,DSC_0112.JPG,PB,July,2023,DSC_0112.JPG,5.73,9.02,0.64,0.69,0.58,2.141,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
17,DSC_0114.JPG_PB_July_2023,DSC_0114.JPG,PB,July,2023,DSC_0114.JPG,4.82,5.75,0.84,0.75,0.65,2.723,29,2.78,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
18,DSC_0115.JPG_PB_July_2023,DSC_0115.JPG,PB,July,2023,DSC_0115.JPG,5.67,7.24,0.78,0.78,0.69,3.895,66,0.71,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
19,DSC_0116.JPG_PB_July_2023,DSC_0116.JPG,PB,July,2023,DSC_0116.JPG,3.24,4.86,0.67,0.7,0.59,8.966,10,8.08,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
20,DSC_0117.JPG_PB_July_2023,DSC_0117.JPG,PB,July,2023,DSC_0117.JPG,4.35,6.15,0.71,0.71,0.6,5.342,58,1.01,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
21,DSC_0118.JPG_PB_July_2023,DSC_0118.JPG,PB,July,2023,DSC_0118.JPG,5.98,7.54,0.79,0.79,0.71,1.58,37,2.09,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
22,DSC_0119.JPG_PB_July_2023,DSC_0119.JPG,PB,July,2023,DSC_0119.JPG,5.77,7.53,0.77,0.76,0.66,1.8,10,10,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
23,DSC_0120.JPG_PB_July_2023,DSC_0120.JPG,PB,July,2023,DSC_0120.JPG,2.63,3.3,0.8,0.7,0.58,13.766,43,1.73,7.5_22.5_37.5_52.5_67.5,5,8,3000_2000_1500,Sigma-8
