plot,date,absolute_wc_0_50cm_l_m2,absolute_wc_50_100cm_l_m2,absolute_wc_100_250cm_l_m2,absolute_wc_250_400cm_l_m2,absolute_wc_0_400cm_l_m2,ew_0_400_cm,carbon_biomass_MgC_ha,lower_95ci_carbon_biomass_MgC_ha,upper_95ci_carbon_biomass_MgC_ha,wc_per_biomass_mm_MgC,lower_95ci_wc_per_biomass_mm_MgC,upper_95ci_wc_per_biomass_mm_MgC
Control,2023-01-01,138.011278125,128.77321249999997,439.094884375,317.84926875,1023.72864375,0.8213675208927231,256.5877988302881,233.1501653256598,279.8730728005987,3.9897791259634796,4.3908553198753895,3.6578318646587924
Control,2023-01-02,143.76509062499997,130.2223208333333,444.3692125,319.44755,1037.8041739583332,0.8423336252819467,256.5877988302881,233.1501653256598,279.8730728005987,4.044635710230151,4.4512264124228595,3.7081244135899345
Control,2023-01-03,144.6388177083333,133.9090229166667,450.1869562499999,326.67178125,1055.406578125,0.8685531593099544,256.5877988302881,233.1501653256598,279.8730728005987,4.113237585482642,4.526724553897818,3.7710186534341794
Control,2023-01-04,149.18859166666664,137.09493020833332,456.2923906249999,332.93704374999993,1075.5129562499997,0.8985024696676108,256.5877988302881,233.1501653256598,279.8730728005987,4.191598202069475,4.612962443100751,3.8428597131109887
Control,2023-01-05,142.00698125,134.60161145833334,447.75756875,336.165571875,1060.5317333333337,0.8761872972442591,256.5877988302881,233.1501653256598,279.8730728005987,4.133211860298895,4.548706760949549,3.789331080410623
Control,2023-01-06,136.88182604166664,130.787046875,440.46940625,333.3845625,1041.5228416666666,0.8478727399161929,256.5877988302881,233.1501653256598,279.8730728005987,4.059128479275623,4.467176080325257,3.721411392830638
Control,2023-01-07,133.536090625,127.62245,434.7795249999999,330.69945000000007,1026.637515625,0.825700409990572,256.5877988302881,233.1501653256598,279.8730728005987,4.0011158765348664,4.403331707661507,3.6682254042940707
Control,2023-01-08,130.71246041666666,125.21437291666663,429.6010937499999,328.685615625,1014.2135427083332,0.8071943708400534,256.5877988302881,233.1501653256598,279.8730728005987,3.9526959088929745,4.350044278509083,3.6238339492950447
Control,2023-01-09,128.29372812499997,123.44560833333333,424.9660781250001,327.08733437499995,1003.7927489583332,0.7916721527532549,256.5877988302881,233.1501653256598,279.8730728005987,3.9120829343185575,4.305348647539041,3.5865999501620713
Control,2023-01-10,126.56758437499998,121.77274062499998,421.002340625,325.58495,994.9276156249998,0.7784671574074302,256.5877988302881,233.1501653256598,279.8730728005987,3.877532837339095,4.267325370476592,3.5549244007974155
Control,2023-01-11,126.13072083333331,120.45149479166668,417.390225,324.24239374999996,988.214834375,0.7684681825662413,256.5877988302881,233.1501653256598,279.8730728005987,3.8513711052512813,4.2385337063547865,3.5309393093313903
Control,2023-01-12,124.79881979166667,119.471215625,413.58631562500005,322.99573437500004,980.8520854166668,0.7575010530182069,256.5877988302881,233.1501653256598,279.8730728005987,3.822676253072425,4.206954277929123,3.504631851866274
Control,2023-01-13,127.45196666666664,118.959765625,411.412653125,322.420353125,980.2447385416668,0.7565963838659088,256.5877988302881,233.1501653256598,279.8730728005987,3.820309239216861,4.2043493178419125,3.502461772162205
