"ID","plot","species","WD","dbh_2023_cm","date","gf_sap_flux_kg_day_cm","gf_cleaned_bl_sap_flux_Kg_day"
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-03,0.393453806490189,62.8411887013784
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-04,0.344934038018247,55.0917658314066
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-05,0.368846933836789,58.9110573816254
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-06,0.485681772942884,77.5715457287992
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-07,0.387439198420761,61.8805546589035
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-08,0.281708059618227,44.9935139555183
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-09,0.341222921845124,54.4990381772804
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-10,0.368132859383625,58.7970076845126
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-11,0.369036524654273,58.941338223089
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-12,0.310835488568782,49.6456541276925
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-13,0.373359875096495,59.6318499845215
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-14,0.353991378377072,56.5383753831068
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-15,0.388089827179878,61.9844710118573
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-16,0.292052008414201,46.645616508557
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-17,0.33757479955428,53.9163717053769
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-18,0.307795171680441,49.1600643986298
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-19,0.284057921775879,45.3688264543058
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-20,0.313775178763015,50.1151720816991
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-05-21,0.270502972254851,43.2038730934851
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-01,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-02,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-03,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-04,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-05,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-06,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-07,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-08,0.193519254521775,30.908278913947
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-09,0.229964525961537,36.7292015789211
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-10,0.214535510283077,34.2649283409119
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-11,0.203597799531592,32.5179920196533
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-12,0.204222805432901,32.6178159713745
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-13,0.215473028091588,34.4146656990051
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-14,0.210472927141827,33.6160655021667
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-15,0.213441742491996,34.0902352333069
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-16,0.215941792966877,34.4895353317261
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-17,0.207504132690273,33.1418991088867
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-18,0.185139228977096,29.5698479269065
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-19,0.182776084165181,29.1924139648896
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-20,0.172935725920315,27.6207432905833
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-21,0.176998306076048,28.2696056524913
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-22,0.175148420245228,27.9741477800474
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-23,0.167664174321197,26.7787878606834
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-24,0.173883664574054,27.7721450328827
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-25,0.186638848930688,29.8093624491441
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-26,0.186462038456638,29.7811228434245
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-27,0.191221942336176,30.5413595293082
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-28,0.183753657657182,29.3485488891602
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-29,0.176768658803006,28.2329271215381
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-30,0.187565951865005,29.9574363767055
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-10-31,0.18883188708133,30.1596275170644
"Control_204","Control","Swartzia racemosa",0.849,52.8394411065093,2023-11-01,0.0683942125078598,10.9237057651792
