ID,campaign,wp_md,wp_pd,plot,date,rounded_time,height_m,dbh_2023_cm,diameter_m,crown_area_m2,crown_volume_m3,wind_problems,time,vpd16m,vpd42m,size_class
TFE_169,Oct-23,-4.733333333,-3.566666667,TFE,10/10/2023,10/10/2023 12:00,36.61975098,58.56901906,0.598824973,75.96887392,329.1544091,FALSE,10/10/2023 12:00,1.771776584,1.885753679,Emergent
Control_259,Oct-23,-4.7,-2.866666667,Control,12/10/2023,12/10/2023 12:00,36.93024898,77.34930234,0.759390633,221.3850336,796.3049753,FALSE,12/10/2023 12:00,1.416383468,1.510949932,Emergent
TFE_111,Oct-23,-4.466666667,-2.633333333,TFE,10/10/2023,10/10/2023 12:00,30.24374771,50.92958179,0.514414347,129.8103211,574.4814587,TRUE,10/10/2023 12:00,1.771776584,1.885753679,Emergent
TFE_178,Oct-23,-4.333333333,-3.033333333,TFE,10/10/2023,10/10/2023 12:00,29.98249817,31.51267873,0.361348455,38.41297195,86.25094363,TRUE,10/10/2023 12:00,1.771776584,1.885753679,Emergent
Control_354,Oct-23,-3.716666667,-1.775,Control,12/10/2023,12/10/2023 12:00,36.07474828,51.40704662,0.489988797,93.82904993,441.9291825,FALSE,12/10/2023 12:00,1.416383468,1.510949932,Emergent
Control_312,Oct-23,-3.7,-3.288333333,Control,12/10/2023,12/10/2023 13:00,26.85324931,28.64788976,0.251972336,75.57346098,225.9149319,FALSE,12/10/2023 13:00,1.429423249,1.642755751,Subcanopy
TFE_119,Oct-23,-3.61,-2.275,TFE,10/10/2023,10/10/2023 14:00,32.32624817,63.98028712,0.521288574,52.18206523,327.2041547,FALSE,10/10/2023 14:00,2.031484729,2.113309735,Emergent
Control_256,Oct-23,-3.503333333,-0.933333333,Control,10/10/2023,10/10/2023 13:00,21.68350053,15.59718442,NA,NA,1446.539252,FALSE,10/10/2023 13:00,1.809188959,1.992434472,Subcanopy
Control_215,Oct-23,-3.458333333,-2.233333333,Control,12/10/2023,12/10/2023 12:00,37.08650184,70.66479473,0.717267398,42.93890035,164.8538103,FALSE,12/10/2023 12:00,1.416383468,1.510949932,Emergent
TFE_214.1,Oct-23,-3.45,-1.596666667,TFE,11/10/2023,11/10/2023 13:00,10.09950066,10.50422624,0.138686649,11.04288934,16.33655393,FALSE,11/10/2023 13:00,1.355952394,1.477382896,Subcanopy
TFE_213,Dec-23,-3.41,-1.56,TFE,13/12/2023,13/12/2023 13:00,23.32100105,22.91831181,0.258461415,25.68634428,76.92666757,FALSE,13/12/2023 13:00,1.27951936,1.457018726,Subcanopy
Control_216,Oct-23,-3.363333333,-1.533333333,Control,10/10/2023,10/10/2023 13:00,31.4940002,44.24507418,0.377695865,52.90526667,332.0454074,FALSE,10/10/2023 13:00,1.809188959,1.992434472,Emergent
Control_322,Oct-23,-3.156666667,-1.133333333,Control,12/10/2023,12/10/2023 13:00,26.70399976,26.41972055,0.24575698,50.00932,235.1934178,FALSE,12/10/2023 13:00,1.429423249,1.642755751,Subcanopy
